,ID,hemi,label,max_path_length
0,103,rh,PCGS,42.494551555027300
0,118,rh,PCGS,39.336157233110900
0,121,rh,PCGS,30.789825988544300
0,129,rh,PCGS,77.45218136204000
0,134,rh,PCGS,35.393467481862500
0,143,rh,PCGS,118.68519890918400
0,148,rh,PCGS,49.02420680522360
0,153,rh,PCGS,29.693889058486500
0,171,rh,PCGS,54.369173265815400
0,178,rh,PCGS,21.54282868611290
0,183,rh,PCGS,23.552254584763800
0,184,rh,PCGS,39.620026651877700
0,190,rh,PCGS,71.718241041025
0,193,rh,PCGS,45.99786060378500
0,195,rh,PCGS,26.783869698221600
0,196,rh,PCGS,31.70737374507660
0,197,rh,PCGS,80.73104435280720
0,200,rh,PCGS,23.244447504959600
0,202,rh,PCGS,24.08667014942870
0,212,rh,PCGS,35.869153822458400
0,215,rh,PCGS,59.37791984236930
0,216,rh,PCGS,48.80873588493330
0,223,rh,PCGS,23.209073798579000
0,224,rh,PCGS,62.82153496403680
0,227,rh,PCGS,40.594459389403400
0,231,rh,PCGS,25.613564268523100
0,234,rh,PCGS,83.04787396990640
0,236,rh,PCGS,21.808918214595200
0,237,rh,PCGS,23.133834095174900
0,244,rh,PCGS,30.40008245691390
0,246,rh,PCGS,64.85340766703150
0,248,rh,PCGS,21.77824626477840
0,249,rh,PCGS,59.69044198127350
0,251,rh,PCGS,69.71314189162100
0,252,rh,PCGS,35.32548874281490
0,253,rh,PCGS,42.7203678032818
0,254,rh,PCGS,36.964426149704900
0,255,rh,PCGS,26.427508697520700
0,263,rh,PCGS,37.56635347680090
0,268,rh,PCGS,39.56335276087210
0,270,rh,PCGS,35.19819108983340
0,273,rh,PCGS,32.33857382165470
0,275,rh,PCGS,24.432447809872200
0,277,rh,PCGS,22.203672073160200
0,280,rh,PCGS,21.340777406231800
0,281,rh,PCGS,45.01407212783610
0,282,rh,PCGS,31.070435406354400
0,285,rh,PCGS,53.60369506680670
0,286,rh,PCGS,100.25086364796600
0,291,rh,PCGS,48.985539860933700
0,292,rh,PCGS,33.803937732609600
0,293,rh,PCGS,31.485026462311000
0,296,rh,PCGS,40.43597214120060
0,299,rh,PCGS,34.073064603768700
0,301,rh,PCGS,81.52645860959680
0,303,rh,PCGS,49.989773015784100
0,304,rh,PCGS,22.267635787346800
0,256,rh,PCGS,47.744777642060000
0,310,rh,PCGS,56.91024409695480
0,312,rh,PCGS,50.00226995260490
0,314,rh,PCGS,27.285992393559000
0,317,rh,PCGS,21.186998410939500
0,318,rh,PCGS,24.163762239330200
0,325,rh,PCGS,68.47386990213880
0,332,rh,PCGS,20.74762231424270
0,333,rh,PCGS,51.920599271900900
0,336,rh,PCGS,21.301356876142800
0,345,rh,PCGS,28.59660247679050
